name,riskScore,status,reviewer,date,age,occupation,coverageType,coverageAmount,income,policyTerm,premiumAmount,policyType,claimHistory,maritalStatus,dependents,healthHistory,policyStartDate
Bruce Banner,769,Needs Info,Reviewer_5,2023-03-31,65,Engineer,Critical Illness,$518214,$52067,21 years,$2984,Whole Life,No,Married,3,No,2024-01-14
Steve Rogers,623,Declined,Reviewer_4,2023-07-14,62,Teacher,Critical Illness,$702536,$73376,20 years,$8245,Whole Life,Yes,Married,3,Yes,2024-08-16
Steve Rogers,787,Needs Info,Reviewer_1,2024-10-16,37,CEO,Term Life,$237957,$58416,22 years,$47668,Term Life,No,Married,1,No,2024-02-04
Bruce Banner,777,Declined,Reviewer_3,2024-10-26,48,Teacher,Health,$435510,$32653,16 years,$24993,Term Life,No,Married,2,No,2024-07-03
Clint Barton,790,Declined,Reviewer_4,2024-02-03,58,Doctor,Life,$967057,$112180,26 years,$39243,Term Life,No,Single,4,Yes,2024-12-20
Tony Stark,771,Pending,Reviewer_4,2024-09-12,28,CEO,Health,$245536,$108517,22 years,$38259,Whole Life,No,Married,1,No,2024-03-09
Steve Rogers,791,Approved,Reviewer_3,2024-05-19,35,CEO,Health,$509875,$107186,28 years,$24381,Whole Life,Yes,Single,0,Yes,2024-03-29
Steve Rogers,619,Declined,Reviewer_5,2023-09-18,42,Scientist,Term Life,$847360,$131262,19 years,$5832,Term Life,No,Single,3,No,2024-12-10
Bruce Banner,670,Pending,Reviewer_3,2024-12-23,44,Scientist,Health,$653558,$131032,17 years,$33611,Whole Life,No,Married,3,No,2024-10-03
Clint Barton,716,Declined,Reviewer_5,2024-09-05,51,Engineer,Health,$907563,$110904,29 years,$5167,Term Life,Yes,Married,0,No,2024-08-06
Natasha Romanoff,796,Declined,Reviewer_3,2024-09-18,54,Teacher,Health,$207315,$142587,13 years,$29297,Term Life,No,Married,4,Yes,2024-07-15
Steve Rogers,633,Declined,Reviewer_3,2023-12-19,58,CEO,Critical Illness,$309435,$77442,14 years,$23462,Whole Life,Yes,Married,4,Yes,2024-09-01
Natasha Romanoff,640,Needs Info,Reviewer_4,2024-08-01,54,Scientist,Critical Illness,$634132,$97799,24 years,$19079,Whole Life,No,Married,5,No,2024-11-05
Tony Stark,704,Pending,Reviewer_4,2024-06-29,42,CEO,Life,$215217,$61707,10 years,$16264,Term Life,No,Single,5,Yes,2024-09-27
Bruce Banner,764,Needs Info,Reviewer_5,2023-12-10,25,CEO,Health,$779857,$75528,26 years,$41151,Whole Life,Yes,Single,5,No,2024-07-10
Bruce Banner,776,Pending,Reviewer_2,2024-12-20,54,Scientist,Critical Illness,$551019,$63111,29 years,$13240,Term Life,No,Married,4,Yes,2024-04-08
Clint Barton,754,Pending,Reviewer_3,2024-10-10,40,Teacher,Health,$773572,$34934,15 years,$18955,Whole Life,No,Single,5,Yes,2024-11-12
Clint Barton,717,Declined,Reviewer_1,2024-05-10,53,Engineer,Term Life,$271018,$123157,28 years,$2318,Term Life,No,Married,4,No,2024-10-21
Bruce Banner,608,Declined,Reviewer_5,2024-11-04,28,Engineer,Life,$261420,$139738,19 years,$30238,Whole Life,No,Married,4,No,2024-05-02
