applicationId,name,coverageType,underwritingStatus,riskAssessment,underwriterName,medicalUnderwritingStatus,finalPremium,policyApprovalStatus,medicalExamsRequired,riskAdjustment
A34640,Clint Barton,Life,Declined,Medium,Underwriter_3,Not Required,$29354,Rejected,No,Increased premium due to high risk
A10098,Bruce Banner,Term Life,Declined,Low,Underwriter_4,Completed,$23786,Pending,No,Standard premium
A14444,Steve Rogers,Term Life,Declined,Low,Underwriter_1,Pending,$14428,Rejected,No,Standard premium
A85195,Tony Stark,Critical Illness,Approved,Medium,Underwriter_5,Completed,$34216,Rejected,No,Standard premium
A56811,Clint Barton,Life,Approved,Medium,Underwriter_2,Completed,$11910,Approved,Yes,Increased premium due to high risk
A71740,Steve Rogers,Health,Approved,Medium,Underwriter_4,Pending,$11002,Pending,Yes,Increased premium due to high risk
A95839,Steve Rogers,Health,Declined,Medium,Underwriter_5,Pending,$6252,Pending,No,Standard premium
A18489,Tony Stark,Term Life,Approved,Medium,Underwriter_1,Completed,$38706,Pending,No,Increased premium due to high risk
A65933,Steve Rogers,Life,Declined,Medium,Underwriter_5,Not Required,$49975,Approved,Yes,Increased premium due to high risk
A60906,Natasha Romanoff,Life,Approved,High,Underwriter_4,Not Required,$32000,Approved,No,Standard premium
A99662,Bruce Banner,Critical Illness,Pending,High,Underwriter_4,Pending,$28395,Pending,Yes,Standard premium
A67064,Natasha Romanoff,Life,Approved,High,Underwriter_5,Completed,$20312,Approved,Yes,Increased premium due to high risk
A14378,Bruce Banner,Term Life,Approved,Low,Underwriter_2,Pending,$41486,Approved,No,Increased premium due to high risk
A52161,Natasha Romanoff,Life,Pending,High,Underwriter_5,Completed,$43801,Pending,Yes,Increased premium due to high risk
A74660,Clint Barton,Life,Declined,High,Underwriter_5,Completed,$6289,Pending,No,Increased premium due to high risk
A79711,Steve Rogers,Life,Pending,Low,Underwriter_2,Pending,$5224,Pending,Yes,Increased premium due to high risk
A83830,Bruce Banner,Critical Illness,Declined,High,Underwriter_1,Pending,$44748,Approved,No,Standard premium
A12544,Natasha Romanoff,Term Life,Approved,Medium,Underwriter_2,Not Required,$8791,Approved,No,Standard premium
A56154,Bruce Banner,Critical Illness,Pending,High,Underwriter_3,Pending,$37253,Pending,No,Increased premium due to high risk
A90130,Steve Rogers,Health,Approved,Medium,Underwriter_3,Not Required,$43517,Pending,No,Increased premium due to high risk
A63457,Natasha Romanoff,Life,Declined,Low,Underwriter_4,Pending,$26465,Rejected,No,Standard premium
A95730,Steve Rogers,Life,Approved,High,Underwriter_1,Not Required,$23602,Rejected,No,Increased premium due to high risk
A17817,Steve Rogers,Critical Illness,Declined,High,Underwriter_2,Completed,$27846,Pending,No,Standard premium
A83597,Clint Barton,Health,Approved,Medium,Underwriter_1,Pending,$42992,Approved,No,Increased premium due to high risk
A26777,Natasha Romanoff,Health,Approved,Low,Underwriter_2,Pending,$6102,Approved,No,Increased premium due to high risk
A49834,Natasha Romanoff,Life,Pending,Medium,Underwriter_3,Not Required,$34926,Approved,Yes,Standard premium
A38881,Steve Rogers,Critical Illness,Pending,Medium,Underwriter_1,Not Required,$43814,Pending,Yes,Standard premium
A46615,Clint Barton,Critical Illness,Approved,Low,Underwriter_2,Completed,$48729,Approved,No,Standard premium
A47402,Steve Rogers,Health,Declined,Medium,Underwriter_1,Pending,$31959,Rejected,No,Increased premium due to high risk
A83565,Natasha Romanoff,Life,Declined,Medium,Underwriter_5,Completed,$17992,Rejected,No,Standard premium
A36656,Bruce Banner,Critical Illness,Approved,Low,Underwriter_3,Not Required,$12350,Approved,Yes,Increased premium due to high risk
A96605,Tony Stark,Term Life,Approved,Low,Underwriter_2,Not Required,$30601,Pending,No,Standard premium
A27444,Steve Rogers,Life,Declined,Medium,Underwriter_3,Not Required,$22500,Pending,No,Standard premium
A32831,Natasha Romanoff,Health,Pending,Medium,Underwriter_5,Not Required,$42060,Approved,No,Increased premium due to high risk
A94506,Natasha Romanoff,Term Life,Approved,Low,Underwriter_1,Not Required,$14245,Approved,Yes,Standard premium
A78332,Clint Barton,Term Life,Declined,Medium,Underwriter_1,Completed,$36437,Approved,No,Increased premium due to high risk
A41306,Steve Rogers,Life,Approved,High,Underwriter_4,Completed,$21372,Approved,Yes,Increased premium due to high risk
A14802,Tony Stark,Life,Approved,High,Underwriter_1,Not Required,$25104,Rejected,Yes,Standard premium
A39129,Natasha Romanoff,Health,Pending,High,Underwriter_4,Pending,$34879,Rejected,No,Standard premium
A76691,Clint Barton,Term Life,Declined,Medium,Underwriter_4,Not Required,$46367,Approved,Yes,Increased premium due to high risk
A41473,Natasha Romanoff,Life,Approved,Medium,Underwriter_2,Not Required,$10279,Approved,Yes,Increased premium due to high risk
A84669,Clint Barton,Critical Illness,Declined,Low,Underwriter_5,Completed,$27637,Approved,Yes,Standard premium
A18676,Steve Rogers,Critical Illness,Declined,Medium,Underwriter_5,Completed,$31678,Pending,No,Standard premium
A91440,Steve Rogers,Life,Pending,Low,Underwriter_4,Not Required,$24382,Rejected,Yes,Standard premium
A41764,Clint Barton,Critical Illness,Pending,Medium,Underwriter_3,Not Required,$40015,Approved,Yes,Increased premium due to high risk
A72656,Steve Rogers,Critical Illness,Declined,Medium,Underwriter_5,Pending,$39362,Approved,No,Standard premium
A78445,Steve Rogers,Health,Declined,High,Underwriter_3,Completed,$36053,Pending,Yes,Increased premium due to high risk
A57753,Bruce Banner,Health,Declined,High,Underwriter_1,Completed,$24353,Pending,Yes,Standard premium
A99061,Clint Barton,Life,Approved,High,Underwriter_1,Completed,$36103,Pending,Yes,Standard premium
A53739,Clint Barton,Critical Illness,Pending,Low,Underwriter_1,Completed,$31484,Approved,Yes,Standard premium
A11247,Bruce Banner,Critical Illness,Declined,Low,Underwriter_4,Not Required,$46127,Pending,Yes,Standard premium
A88376,Steve Rogers,Life,Pending,Medium,Underwriter_2,Not Required,$27737,Pending,Yes,Increased premium due to high risk
A10791,Natasha Romanoff,Term Life,Pending,High,Underwriter_1,Pending,$32244,Pending,Yes,Increased premium due to high risk
A65910,Bruce Banner,Term Life,Declined,Medium,Underwriter_4,Completed,$19426,Approved,Yes,Standard premium
A91255,Tony Stark,Health,Approved,Medium,Underwriter_4,Not Required,$18615,Rejected,Yes,Increased premium due to high risk
A68038,Clint Barton,Life,Declined,High,Underwriter_5,Completed,$38751,Pending,Yes,Increased premium due to high risk
A10013,Clint Barton,Life,Pending,High,Underwriter_5,Completed,$27804,Approved,No,Standard premium
A30315,Bruce Banner,Term Life,Declined,Medium,Underwriter_1,Completed,$20027,Rejected,Yes,Standard premium
A61793,Natasha Romanoff,Life,Approved,High,Underwriter_5,Completed,$43834,Rejected,No,Standard premium
A95529,Bruce Banner,Term Life,Pending,Medium,Underwriter_2,Pending,$24083,Pending,Yes,Standard premium
A64827,Tony Stark,Critical Illness,Pending,Low,Underwriter_1,Completed,$49743,Rejected,No,Standard premium
A81359,Steve Rogers,Critical Illness,Pending,Medium,Underwriter_1,Pending,$49433,Pending,No,Standard premium
A79277,Clint Barton,Critical Illness,Declined,Medium,Underwriter_2,Completed,$42187,Pending,No,Standard premium
A86355,Clint Barton,Critical Illness,Declined,Low,Underwriter_4,Pending,$28260,Pending,Yes,Standard premium
A35558,Clint Barton,Term Life,Declined,Medium,Underwriter_3,Not Required,$16791,Rejected,Yes,Standard premium
A48172,Steve Rogers,Term Life,Pending,Medium,Underwriter_1,Pending,$11273,Pending,No,Increased premium due to high risk
A55455,Steve Rogers,Health,Pending,Low,Underwriter_3,Pending,$17081,Approved,Yes,Increased premium due to high risk
A84103,Steve Rogers,Critical Illness,Pending,High,Underwriter_1,Completed,$39480,Rejected,No,Standard premium
A55450,Clint Barton,Term Life,Pending,High,Underwriter_5,Not Required,$39228,Rejected,No,Increased premium due to high risk
A61657,Clint Barton,Life,Pending,High,Underwriter_5,Not Required,$34401,Approved,Yes,Standard premium
A35586,Steve Rogers,Life,Approved,Low,Underwriter_3,Not Required,$38140,Approved,No,Increased premium due to high risk
A42470,Tony Stark,Health,Pending,Low,Underwriter_5,Completed,$38386,Pending,Yes,Increased premium due to high risk
A22192,Tony Stark,Term Life,Approved,Medium,Underwriter_4,Completed,$21410,Approved,No,Standard premium
A25324,Natasha Romanoff,Critical Illness,Approved,High,Underwriter_1,Not Required,$10506,Rejected,No,Standard premium
A91101,Clint Barton,Critical Illness,Pending,High,Underwriter_1,Completed,$35704,Rejected,No,Standard premium
A72086,Tony Stark,Health,Approved,High,Underwriter_2,Completed,$11597,Rejected,No,Standard premium
A84938,Natasha Romanoff,Life,Declined,Low,Underwriter_1,Completed,$40892,Approved,No,Standard premium
A66560,Clint Barton,Term Life,Pending,Low,Underwriter_5,Not Required,$8586,Rejected,Yes,Standard premium
A58390,Steve Rogers,Term Life,Approved,Low,Underwriter_3,Not Required,$19049,Pending,Yes,Increased premium due to high risk
A83616,Clint Barton,Health,Approved,Low,Underwriter_3,Completed,$21002,Approved,No,Standard premium
A82620,Tony Stark,Health,Declined,Medium,Underwriter_2,Pending,$45386,Approved,Yes,Standard premium
A16831,Tony Stark,Health,Declined,Medium,Underwriter_2,Pending,$12726,Pending,Yes,Increased premium due to high risk
A58704,Bruce Banner,Health,Declined,Low,Underwriter_2,Not Required,$34938,Approved,Yes,Standard premium
A86864,Natasha Romanoff,Health,Approved,Low,Underwriter_3,Not Required,$22934,Pending,No,Standard premium
A66236,Natasha Romanoff,Critical Illness,Approved,Low,Underwriter_1,Not Required,$42772,Rejected,Yes,Standard premium
A95283,Tony Stark,Health,Approved,High,Underwriter_1,Not Required,$10508,Pending,No,Increased premium due to high risk
A95938,Steve Rogers,Term Life,Approved,High,Underwriter_4,Not Required,$32360,Approved,Yes,Increased premium due to high risk
A76088,Tony Stark,Life,Pending,High,Underwriter_1,Completed,$39280,Approved,No,Standard premium
A72877,Bruce Banner,Term Life,Declined,High,Underwriter_4,Completed,$25288,Approved,No,Standard premium
A24969,Steve Rogers,Term Life,Pending,Medium,Underwriter_1,Completed,$9580,Pending,No,Standard premium
A43513,Tony Stark,Critical Illness,Declined,Low,Underwriter_5,Pending,$47042,Rejected,No,Increased premium due to high risk
A18590,Tony Stark,Life,Approved,Low,Underwriter_5,Completed,$24182,Pending,No,Increased premium due to high risk
